OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
211,OTB-HAY-A,350,COMMISSIONED,Oteranga Bay - Haywards A,TRANSLINE,350 TRANSLINE,37390.4953753747,51b06eeb-3c7a-41da-ad9b-e14cc32d6dbe
212,RDF-TUI-A,110,COMMISSIONED,Redclyffe - Tuai A,TRANSLINE,110 TRANSLINE,97196.4947540718,7aab575a-c59f-4a30-a4ec-db42939fd000
213,ROT-TRK-A,110,COMMISSIONED,Rotorua - Tarukenga A,TRANSLINE,110 TRANSLINE,11802.3141824532,4dc41e32-d77f-4cc0-be01-18db159aa823
214,RPO-DEV-A,220,COMMISSIONED,Rangipo - Deviation A,TRANSLINE,220 TRANSLINE,6292.84995071411,58d5bf92-7793-4ddb-98d9-6ecbd6f0f8ec
215,THW-DEV-A,0,COMMISSIONED,Te Hikowhenua - Deviation A,TRANSLINE,0 TRANSLINE,4451.01927998509,5f40ce88-6876-4613-b082-dc0732aecc78
216,WGN-SFD-A,110,COMMISSIONED,Wanganui - Stratford A,TRANSLINE,110 TRANSLINE,109979.74791385,59b95b5c-26be-454f-834d-c4751ad192a6
218,BPE-WGN-B,110,COMMISSIONED,Bunnythorpe - Wanganui B,TRANSLINE,110 TRANSLINE,62135.2364970885,1aeb4303-0a11-40ea-8916-7b454f2cebe8
219,COL-OTI-A,66,COMMISSIONED,Coleridge - Otira A,TRANSLINE,66 TRANSLINE,83547.9393275153,0002a80d-f1e4-4f0f-8867-94519c1ed6fb
220,EDG-WAI-B,110,COMMISSIONED,Edgecumbe - Waiotahi B,TRANSLINE,110 TRANSLINE,35235.7924122837,5371bda4-cf7f-41a2-b5a5-dea1523f8f14
221,GFD-HAY-A,110,COMMISSIONED,Gracefield - Haywards A,TRANSLINE,110 TRANSLINE,15292.1074425542,505b0bc1-e87c-4e6c-a5ba-01b13463dea2
222,HAM-DEV-A,220,COMMISSIONED,Hamilton - Deviation A,TRANSLINE,220 TRANSLINE,6198.34773449291,a0addb7d-eba2-4613-a5e9-423a0055b598
223,INV-ROX-A,220,COMMISSIONED,Invercargill - Roxburgh A,TRANSLINE,220 TRANSLINE,132746.888889313,a8645689-6017-4ca4-82fc-7acf75c0004c
224,INV-ROX-B,220,COMMISSIONED,Invercargill - Roxburgh B,TRANSLINE,220 TRANSLINE,127062.936426973,915a030f-ec62-4545-8fe0-0b72d1016d03
225,ISL-SBK-A,66,COMMISSIONED,Islington - Southbrook A,TRANSLINE,66 TRANSLINE,25685.8305688488,f06164df-e464-4f59-a5f5-ec35ea9c142f
